file1,start1,end1,file2,start2,end2,classification,notes
10924700_0.java,1,18,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.oxm/src/main/java/org/springframework/oxm/jaxb/Jaxb2Marshaller.java,253,270,QS,"question is about springer. Author of answer says the problem faced by the question is caused by the fact its configuration is not activating the following code, then posts code from springer"
11187462_0.java,44,61,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,32,48,QS,author of answers says he copied from log4j and adapted a bit
11368428_1.java,1,27,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/demo/BarChartDemo1.java,29,55,QS,"answer mentions JFreeChart, author of answer suggests to use the following SO snippet with the solution he proposed"
11368428_1.java,1,27,jfreechart-1/jfreechart-1.0.13/swt/org/jfree/experimental/chart/swt/demo/SWTBarChartDemo1.java,19,45,QS,"answer mentions JFreeChart, author of answer suggests to use the following SO snippet with the solution he proposed"
12106623_0.java,1,16,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/WriterAppender.java,45,61,QS,author copied code from log4j to answer the question
12377779_0.java,1,37,netbeans-6.9.1-201007282301/kenai.ui/src/org/netbeans/modules/kenai/ui/treelist/TreeList.java,125,159,QS,author copied code from specific class on netbeans to answer the question
12427981_1.java,17,33,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,32,48,QS,MOTIVATION author of answer says he's copying and pasting from apache project.
12936580_0.java,63,197,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,443,578,QS,question is about JFreeChart. author of answer says he combined codes to achieve solution
12936580_0.java,63,197,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,596,731,QS,question is about JFreeChart. author of answer says he combined codes to achieve solution
13219118_0.java,12,27,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_EN.java,49,64,QS,SO copied code from web. web copies code from Qualitas. Q to S via web
13219118_0.java,12,27,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_FR.java,49,69,QS,author of answer says he copied from this link http://www.rgagnon.com/javadetails/java-0426.html. in the qualitas project
13524878_0.java,1,16,netbeans-6.9.1-201007282301/java.source/test/unit/data/jdk/JTable.java,1469,1484,QS,SO provides code to point to the problem the author of the question had.
14019840_0.java,1,18,struts2-2.2.1-all/struts-2.2.1/src/core/src/main/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapper.java,128,145,QS,SO provides code from struts to help answering the question
14940863_0.java,1,26,jstock-1.0.7c/jstock/src/org/yccheok/jstock/alert/GoogleMail.java,18,43,QS,SO says he copied from jstock
15110171_0.java,23,40,struts2-2.2.1-all/struts-2.2.1/src/xwork-core/src/main/java/com/opensymphony/xwork2/validator/validators/StringLengthFieldValidator.java,25,42,QS,SO says he based on struts code to provide solution
16860613_0.java,55,74,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,55,74,QS,DELETED FROM SO literal copy from eclipse
16928749_0.java,50,66,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapred/TextOutputFormat.java,46,63,QS,SO snippet extends class from Qualitas hadoop. SO question tags hadoop
16928749_0.java,50,66,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapreduce/lib/output/TextOutputFormat.java,50,67,QS,SO snippet extends class from Qualitas hadoop. SO question tags hadoop
18137301_0.java,3,15,antlr4-4.0/tool/test/org/antlr/v4/test/TestPerformance.java,559,570,QS,author of answer says ge copied code from antlr
21702608_0.java,1,36,hadoop-1/hadoop-1.0.0/src/examples/org/apache/hadoop/examples/DBCountPageView.java,275,306,QS,SO answer copies code from question and adds solution. SO questions copies code from hadoop example
21734562_0.java,1,70,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/catalina/authenticator/BasicAuthenticator.java,23,87,QS,SO answer says he copied from tomcat
21787713_0.java,1,14,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.web.servlet/src/main/java/org/springframework/web/servlet/DispatcherServlet.java,119,132,QS,SO gives example from spring to illustrate answer
21998949_0.java,10,89,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/plot/SpiderWebPlot.java,502,578,QS,SO says he copied from jfreechart and altered a bit
22064171_0.java,56,103,iReport-3/iReport-3.7.5-src/ireport-designer/src/com/jaspersoft/ireport/designer/sheet/editors/box/ShapeStroke.java,23,80,QS,SO says he copied from the web. website is owned by the same developer as ireport. 
22230019_0.java,1,19,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/swt/widgets/Widget.java,424,442,QS,SO copies code from Eclipse to help in the answer
23520731_0.java,1,75,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/tool/hbm2ddl/SchemaUpdate.java,115,190,QS,SO copies code from hibernate to help the answer
23967852_0.java,1,20,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/dialect/pagination/SQLServer2005LimitHandler.java,43,62,QS,SO copies code from hibernate to help the answer
24404964_0.java,1,36,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/catalina/connector/CoyoteAdapter.java,543,578,QS,SO copies from tomcat to help the answer
24924255_0.java,1,32,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/criterion/Example.java,218,247,QS,stackoverflow answer mentions the code in this link: http://grepcode.com/file/repo1.maven.org/maven2/org.hibernate/hibernate/3.2.7.ga/org/hibernate/criterion/Example.java
25056629_1.java,1,14,iText-src-5/src/core/com/itextpdf/text/pdf/PdfWriter.java,538,551,QS,question is about iText. Author of answer posts the code from iText that is an example of the shortcome pointed by the question
2513183_0.java,45,55,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/ui/actions/GenerateToStringAction.java,45,55,QS,SO copies code from Eclipse to help answer
2513183_0.java,106,159,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/ui/actions/GenerateToStringAction.java,113,166,QS,author says he copied from eclipse (outdated code)
25719073_1.java,1,20,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/swt/widgets/Widget.java,309,328,QS,SO says he copied from eclipse to answer question
3629882_0.java,1,26,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,1484,1502,QS,"author of question copies from jstock, answer edits code to find solution"
3911987_0.java,38,53,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_EN.java,49,64,QS,known snippet to convert numbers to strings name. orginally from Qualitas project
3911987_0.java,38,53,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_FR.java,49,69,QS,known snippet to convert numbers to strings name. orginally from Qualitas project
4083418_0.java,1,28,apache-log4j-1.2.16/apache-log4j-1.2.16/src/main/java/org/apache/log4j/DailyRollingFileAppender.java,105,132,QS,question is about log4j. answer copies snippet to explain behaviour
598007_0.java,1,13,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/dialogs/ProgressMonitorDialog.java,252,264,QS,author of answer sayd he copied from Eclipse
6025026_0.java,212,233,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShortestPathDemo.java,158,179,QS,answer says he copied this specific class and edited a bit to provide solution
6149818_0.java,1,20,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.core/src/main/java/org/springframework/util/DefaultPropertiesPersister.java,67,86,QS,answer copies code from spring to explain behaviour
6722760_1.java,13,37,jgraph-latest-bsd-src/examples/org/jgraph/example/HelloWorld.java,14,37,QS,SO answer copies code from jgraph examples
7504040_0.java,5,17,eclipse_SDK/eclipse_SDK-4.3/src/src/junitsrc/org/junit/rules/ExternalResource.java,8,20,QS,authors says he copied form junit
7504040_0.java,5,17,junit-4/org/junit/rules/ExternalResource.java,8,20,QS,author asks a question says he copied from junit 
801987_0.java,1,18,hadoop-1/hadoop-1.0.0/src/core/org/apache/hadoop/util/StringUtils.java,41,57,QS,answer says he copied from hadoop
8802082_2.java,1,20,junit-4/org/junit/internal/runners/statements/ExpectException.java,12,31,QS,author of answer says he copied code from JUnit
10042010_0.java,30,41,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,85,96,QS,SO says he based on TreeLayout to answer question
10042010_0.java,42,55,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,97,110,QS,SO says he based on TreeLayout to answer question
11187462_0.java,62,82,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,49,65,QS,SO says he copied from log4j
12427981_1.java,34,50,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,49,65,QS,"SO says the solution is copy and paste, and the whole class is too similar to the one in log4j for not being a clone."
12593810_0.java,1,12,poi-3.6-20091214/poi-3.6/src/ooxml/java/org/apache/poi/extractor/ExtractorFactory.java,49,60,QS,"question tags apache-poi. even error string is the same, very likely copy and paste"
12593810_0.java,1,12,poi-3.6-20091214/poi-3.6/src/ooxml/java/org/apache/poi/ss/usermodel/WorkbookFactory.java,18,29,QS,"question tags apache-poi. even error string is the same, very likely copy and paste"
12617195_0.java,7,20,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/org/apache/tomcat/util/http/fileupload/servlet/ServletFileUpload.java,12,25,QS,SO copies code from ServletFileUpload.java
12936580_0.java,47,62,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/plot/XYPlot.java,1802,1820,QS,SO answer says he merged two classes from jfreechart to achieve solution
12936580_0.java,63,197,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,389,524,QS,SO answer says he merged two classes from jfreechart to achieve solution
13460384_0.java,1,12,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.web.servlet/src/main/java/org/springframework/web/servlet/support/WebContentGenerator.java,99,110,QS,SO copies from spring to assist in reply
13592651_0.java,65,76,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,85,96,QS,SO says he extended TreeLayout to achieve solution
13592651_0.java,77,90,jung2-2_0_1/jung-algorithms-2.0.1/edu/uci/ics/jung/algorithms/layout/TreeLayout.java,97,110,QS,SO says he extended TreeLayout to achieve solution
15131432_0.java,5,22,struts2-2.2.1-all/struts-2.2.1/src/core/src/main/java/org/apache/struts2/views/freemarker/FreemarkerManager.java,144,162,QS,SO is based on FreemarkerManager.java
15131432_0.java,23,42,struts2-2.2.1-all/struts-2.2.1/src/core/src/main/java/org/apache/struts2/views/freemarker/FreemarkerManager.java,163,177,QS,SO is based on FreemarkerManager.java
16207578_0.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,31,40,QS,SO posts code from HttpServlet to assist in reply
16207578_0.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,51,60,QS,SO posts code from HttpServlet to assist in reply. NOTE: consolidate these clones.
16207578_0.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,61,70,QS,SO posts code from HttpServlet to assist in reply. NOTE: consolidate these clones.
16207578_0.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,71,81,QS,SO posts code from HttpServlet to assist in reply. NOTE: consolidate these clones.
16860613_0.java,96,117,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,96,117,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16860613_0.java,118,165,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,118,165,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16860613_0.java,189,204,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,189,204,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16860613_0.java,215,225,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/viewers/StyledString.java,215,225,QS,"although SO question was deleted, the snippet is the exact same class as the eclipse class"
16928749_0.java,68,97,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapreduce/lib/output/TextOutputFormat.java,73,99,QS,SO question is about hadoop. The answer mentions TextOutputFormat in Hadoop. SO extends hadoop class to provide solution
16930707_0.java,22,37,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/RegisterUserEventListenersTest.java,23,35,QS,SO copies from hibernate to assist reply
16930707_0.java,41,59,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/RegisterUserEventListenersTest.java,40,53,QS,SO copies from hibernate to assist reply
17697173_0.java,1,19,lucene-4.3.0/lucene-4.3.0/analysis/common/src/java/org/apache/lucene/analysis/synonym/SlowSynonymFilterFactory.java,38,52,QS,SO copies from lucene to assist in reply
17994928_0.java,1,16,junit-4/org/junit/runners/ParentRunner.java,124,137,QS,SO copied from JUnit to assist in reply.
18647984_0.java,48,63,hadoop-1/hadoop-1.0.0/src/mapred/org/apache/hadoop/mapreduce/lib/input/SequenceFileRecordReader.java,36,50,QS,SO says he was based on haddop code to come up with solution
18687201_0.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,31,40,QS,original implementation of doPost in java servlet
18687201_0.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,61,70,QS,original implementation of java servelet doPost. Apache copied this code to its code base and cloned over several other methods
18687201_0.java,1,10,apache-tomcat-7.0.2/apache-tomcat-7.0.2-src/java/javax/servlet/http/HttpServlet.java,71,81,QS,original implementation of java servelet doPost. Apache copied this code to its code base and cloned over several other methods
18687201_0.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/javax/servlet/http/HttpServlet.java,32,41,QS,original implementation of java servelet doPost. Eclipse copied this code to its code base and cloned over several other methods
